"word1","word2","n"
"donald","trump",1761
"president","trump",1370
"prime","minister",523
"buy","greenland",498
"trump","cancels",463
"trump","supporters",432
"trump","2020",406
"background","checks",365
"denmark","trip",347
"trump","administration",332
"white","house",318
"trump","supporter",314
"cancels","denmark",312
"neeratanden","ninaturner",311
"realdonaldtrump","trump",305
"anti","semitic",297
"jewish","people",295
"beat","trump",290
"trump","trump",285
"trump","postpones",276
"ninaturner","neeratanden",251
"gopchairwoman","realdonaldtrump",236
"support","trump",227
"trump","amp",226
"buying","greenland",212
"american","jews",208
"president","donald",195
"jews","disloyal",193
"neeratanden","susansarandon",184
"erictrump","laraleatrump",182
"universal","background",180
"greenland","sale",175
"white","supremacist",175
"postpones","denmark",172
"denmark","visit",171
"danish","pm",162
"jewish","leaders",160
"fox","news",158
"leaders","outraged",154
"anti","trump",149
"rashidatlaib","ilhanmn",144
"tax","cut",140
"president","obama",138
"anti","semitism",137
"vote","trump",133
"realdonaldtrump","erictrump",132
"american","people",131
"greenland","trump",131
"pro","trump",128
"trump","realdonaldtrump",126
"ilhanmn","ayannapressley",125
"ayannapressley","aoc",124
"gun","control",124
"trump","tells",120
"hate","trump",118
"trade","war",116
"trump","won",115
"sell","greenland",114
"minister","refuses",112
"tax","cuts",112
"nra","chief",111
"trump","accuses",110
"fake","news",109
"spike","lee",109
"trump","doesn’t",109
"vote","democrat",109
"trump","tower",106
"total","lack",105
"trump","family",103
"anti","semite",102
"trump","campaign",100
"usambdenmark","realdonaldtrump",100
"accuses","jewish",99
"trump","admin",99
"washington","post",98
"bernie","sanders",97
"god","bless",97
"danish","prime",96
"hillary","clinton",96
"mass","shootings",96
"epoch","times",95
"democratic","party",93
"sale","spat",92
"climate","change",91
"president","trump's",91
"trump","video",90
"discuss","sale",89
"news","trump",89
"popular","vote",89
"totaluv2tweet","twitter",88
"jewish","americans",87
"susan","sarandon",87
"trump","voters",87
"payroll","tax",86
"andrew","mccarthy",85
"mental","illness",85
"calls","trump",84
"intelligence","investigations",84
"postpones","meeting",84
"tells","nra",84
"counter","intelligence",83
"mccarthy","counter",83
"trump","calls",83
"amp","trump",81
"joe","biden",81
"planned","parenthood",80
"white","supremacists",77
"york","times",77
"donald","trump's",76
"fine","people",76
"neo","nazi",76
"wayne","lapierre",76
"jewish","democrats",75
"pres","trump",74
"jill","stein",72
"trump","scraps",71
"mette","frederiksen",70
"real","estate",70
"trump","wins",70
"almighty","dollar",69
"beating","trump",69
"cancels","trip",69
"cnn","politics",69
"trump","jews",69
"greenland","isn’t",68
"supporting","trump",68
"trump","win",68
"supporters","kneel",67
"white","supremacy",67
"nbc","news",66
"reason","trump",66
"selling","greenland",66
"trump","called",66
"sale","trump",65
"trump","presidency",65
"trump","rally",65
"white","nationalist",64
"ilhanmn","rashidatlaib",63
"lee","calls",63
"love","trump",63
"ilhan","omar",62
"republican","party",62
"trump","delays",61
"trump","isn’t",61
"donald","trump’s",60
"elect","trump",60
"trump","tweets",60
"impeachment","inquiry",59
"trump","makes",59
"voting","democratic",59
"hong","kong",58
"mental","health",58
"minister","declines",57
"time","trump",57
"davidfrum","maggienyt",56
"krystalball","susansarandon",56
"people","trump",56
"democrats","cnn",55
"theresamarino7","ninaturner",55
"3rd","party",54
"day","trump",54
"jewish","person",54
"realdonaldtrump","potus",54
"scottish","golf",54
"dismantle","trump",53
"el","paso",53
"launching","pac",53
"realdonaldtrump","donald",53
"blame","trump",52
"electoral","college",52
"health","care",52
"neeratanden","theresamarino7",52
"trump","hates",52
"trump","lies",52
"economic","pain",51
"kashmir","situation",51
"possibly","move",51
"scaramucci","launching",51
"scraps","trip",51
"baby","trump",50
"minister","mette",50
"puerto","rico",50
"vp","realdonaldtrump",50
"165","million",49
"2020","trump",49
"call","trump",49
"concentration","camps",49
"supreme","court",49
"cancels","meeting",48
"foreign","policy",48
"john","trump",48
"trump","elected",48
"trump","told",48
"cnn","trump",47
"jews","voting",47
"slippery","slope",47
"america","trump",46
"migrant","families",46
"purchase","greenland",46
"realdonaldtrump","judicialwatch",46
"trump","acknowledges",46
"2020","election",45
"china","policies",45
"delays","meeting",45
"impeach","trump",45
"middle","class",45
"potus","realdonaldtrump",45
"supports","trump",45
"trump","disloyaltotrump",45
"2016","election",44
"donald","john",44
"golf","resorts",44
"racist","trump",44
"won’t","sell",44
"defeat","trump",43
"log","cabin",43
"ninaturner","susansarandon",43
"potus","trump",43
"trump","cancelled",43
"trump","derangement",43
"trump","didn’t",43
"trump","fan",43
"1","2",42
"golf","courses",42
"kashmir","issue",42
"moveon","rashidatlaib",42
"phone","call",42
"trump","maga",42
"trump","qanon",42
"voter","fraud",42
"white","people",42
"whitehouse","realdonaldtrump",42
"american","history",41
"anderson","cooper",41
"don’t","care",41
"fuck","trump",41
"gun","rights",41
"jewish","voters",41
"tax","returns",41
"9","11",40
"democrat","party",40
"denmark","pm",39
"derangement","syndrome",39
"helped","trump",39
"sale","nbc",39
"social","media",39
"trump","can’t",39
"24","7",38
"blah","blah",38
"disloyalty","trump",38
"geraldorivera","realdonaldtrump",38
"judgment","day",38
"lara","trump",38
"pied","piper",38
"politics","trump",38
"real_defender","realdonaldtrump",38
"red","flag",38
"trump","inflating",38
"trump","loves",38
"trump","supporting",38
"20","20",37
"facebook","fueled",37
"falun","gong",37
"fueled","rise",37
"impending","judgment",37
"mueller","report",37
"president","trump’s",37
"racial","war",37
"scaramucci","realdonaldtrump",37
"bbc","news",36
"dump","trump",36
"inflating","scottish",36
"miami","hispanics",36
"rashida","tlaib",36
"realdonaldtrump","president",36
"report","trump",36
"situation","explosive",36
"trump","i’m",36
"trump","pence",36
"trump","university",36
"trump's","head",36
"uk","filings",36
"american","jew",35
"baby","girl",35
"denmark","trump",35
"g7","summit",35
"neo","nazis",35
"tax","reductions",35
"ted","cruz",35
"trump","donald",35
"trump","impeachment",35
"trump","russia",35
"white","nationalists",35
"black","people",34
"democrats","cnnpolitics",34
"jewish","community",34
"makes","sense",34
"miss","nevada",34
"post","trump",34
"realdonaldtrump","hey",34
"recession","trump",34
"trump","canceled",34
"trump","it’s",34
"trump","team",34
"trump","white",34
"absolute","worst",33
"north","korea",33
"taxpayer","expense",33
"trump","appears",33
"trump","policies",33
"trump","train",33
"10th","grandchild",32
"abc","news",32
"anti","semites",32
"aoc","trump",32
"mentally","ill",32
"migrant","children",32
"phone","calls",32
"semitic","trope",32
"stop","trump",32
"times","trump",32
"trump","card",32
"trump","greenland",32
"trump","insults",32
"trump","jewish",32
"trump","stop",32
"business","properties",31
"didn’t","vote",31
"eric","trump",31
"helped","elect",31
"imran","khan",31
"jewish","loyalty",31
"laraleatrump","congratulations",31
"maga","kag",31
"pm","modi",31
"poll","trump",31
"trump","claims",31
"trump","loving",31
"watch","trump’s",31
"worst","stain",31
"25th","amendment",30
"actorhustle","neeratanden",30
"approval","rating",30
"disease","america",30
"dual","loyalty",30
"ha","ha",30
"health","agencies",30
"lauren","underwood",30
"oval","office",30
"presidency","visiting",30
"pro","israel",30
"proud","boys",30
"putin","outsmarted",30
"real","reason",30
"short","recession",30
"stephen","miller",30
"susansarandon","berniesanders",30
"trump","blames",30
"trump","losing",30
"trump","tax",30
"trump’s","comments",30
"alyssa_milano","movementvote",29
"bernie","supporters",29
"cuomoprimetime","chriscuomo",29
"denmark","meeting",29
"global","warming",29
"gop","donors",29
"jewish","american",29
"jews","trump",29
"raw","story",29
"sell","trump",29
"told","trump",29
"trump","painting",29
"voting","democrat",29
"barack","obama",28
"braces","gop",28
"common","sense",28
"country","trump",28
"gop","realdonaldtrump",28
"greenland","denmark",28
"hey","trump",28
"ivanka","trump",28
"msnbc","trump",28
"mysterysolvent","trump",28
"potential","moderate",28
"rep","lauren",28
"trump","calling",28
"trump","endorsement",28
"trump","president",28
"trump’s","phone",28
"wall","street",28
"american","jewish",27
"elected","trump",27
"girl","president",27
"gun","violence",27
"illinois","dem",27
"middle","east",27
"moscow","mitch",27
"nazi","trump",27
"nytimes","trump",27
"omar","amp",27
"paying","attention",27
"recession","fears",27
"stock","market",27
"tomfitton","realdonaldtrump",27
"trade","deal",27
"trump","loses",27
"trump","tweet",27
"twitter","trump",27
"u.s","rep",27
"u.s","steel",27
"vote","blue",27
"vote","democratic",27
"anthony","scaramucci",26
"cancels","visit",26
"complicated","trump",26
"david","duke",26
"denmark's","prime",26
"disloyaltotrump","disloyaltotrump",26
"facebook","bans",26
"google","manipulated",26
"ilhanmn","trump",26
"immigration","policy",26
"libsinamerica","realdonaldtrump",26
"maggienyt","trump",26
"nazi","germany",26
"outsmarted","obama",26
"proud","jewish",26
"real","life",26
"realdonaldtrump","fbi",26
"realdonaldtrump","ilhanmn",26
"team","braces",26
"trump","offers",26
"trump's","10th",26
"anti","american",25
"blames","mental",25
"breaking","news",25
"can’t","buy",25
"conservative","jews",25
"economy","trump",25
"ewerickson","gop",25
"flag","laws",25
"jon","voight",25
"kim","jong",25
"left","wing",25
"liberal","jews",25
"national","tv",25
"nazi","arrested",25
"purchasing","greenland",25
"rjc","gop",25
"sacrifice","gun",25
"shootings","health",25
"trade","wars",25
"trump","ads",25
"trump","neeratanden",25
"trump's","comments",25
"walshfreedom","trump",25
"watch","trump",25
"1","trump",24
"aoc","ilhanmn",24
"capital","gains",24
"china","tariffs",24
"dem","party",24
"discuss","selling",24
"domestic","terrorism",24
"economic","data",24
"expense","report",24
"flip","stuns",24
"gop","hogangidley45",24
"head","spinning",24
"helping","trump",24
