"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x17244587","x1348443418209513473",2021-01-11 01:35:38,"siobhangreen","@QasimRashid Please read this analysis published in mid Dec on increasing risks of violence from the right, esp. militias like the Proud Boys.

https://t.co/RUEf7UJAWS","Twitter for Android",154,"x1348291585428119553","x85583894","QasimRashid",FALSE,FALSE,0,0,,,,,"acleddata.com/2020/12/10/the…","https://t.co/RUEf7UJAWS","https://acleddata.com/2020/12/10/the-future-of-stop-the-steal-post-election-trajectories-for-right-wing-mobilization-in-the-us/",,,,,,,,,"x85583894","QasimRashid","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/4dad272dba156a02.json","Annandale","Annandale, VA","city","United States","US","NA NA","NA NA","-77.262146 -77.157684 -77.157684 -77.262146 38.811091 38.811091 38.865962 38.865962","https://twitter.com/siobhangreen/status/1348443418209513473","Siobhan Wilson Green","Washington, DC Metro Area","Digital dev fanatic, esp. digital inclusion & data ethics, women in tech. This is me professional-like. For snark & activism, follow to @eileenleft5 She/her",,FALSE,872,605,41,6256,7083,2008-11-08 04:03:16,FALSE,,,,"https://pbs.twimg.com/profile_banners/17244587/1561578586","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/2574197119/d5evtjq89fmkbplf9uk9_normal.jpeg"
"x2857994147","x1348422923850297345",2021-01-11 00:14:12,"Geopolog","The pivot by the Proud Boys and others away from the Police happened a couple weeks before the protests. This means protestors in several cities won't have to worry about battling on 2 fronts against right wing militias while worrying about police lines. https://t.co/8wKawFee3B","Twitter for Android",254,,,,TRUE,FALSE,0,0,,,,,"twitter.com/TerryBoutonHis…","https://t.co/8wKawFee3B","https://twitter.com/TerryBoutonHist/status/1348365417274880005",,,,,,,,,,,"en","x1348365417274880005","And the crowd reviled them for it. They booed the police and FBI swat team, calling them traitors and murderers. A man on the back Capitol steps ripped up a Thin Blue Line flag, the torn stripes fluttering down over a crowd briefly chanting “fuck the police.” 15/22 https://t.co/Xno0UpgoUZ",2021-01-10 20:25:41,"Twitter Web App",15936,3588,"x972201044838092800","TerryBoutonHist","Terry Bouton",18700,515,37,"Maryland, USA","Historian of the American Revolution. Author of Taming Democracy: ""The People,"" The Founders, and the Troubled Ending of the American Revolution",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Geopolog/status/1348422923850297345","Geopolog","United States","#ISIS, geopolitics, insurgencies, crime, extremism & Natsec interest. Non-intervention.

Unsolicited travel pics, opinions & movie reviews sometimes unavoidable",,FALSE,2993,1062,50,31334,6251,2014-11-03 00:56:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/2857994147/1573547507","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1194170910401613824/gfJjLx1z_normal.jpg"
"x1289254767504642048","x1348294740203216897",2021-01-10 15:44:50,"ellmac75","@JohnJHarwood @jaketapper I guess white nationalists, armed militias, and Proud Boys are not radical according to    Republicans. Just mainstream, apple pie, flag waving citizens.","Twitter for iPhone",153,"x1348277700553822210","x259395895","JohnJHarwood",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x259395895 x14529929","JohnJHarwood jaketapper","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ellmac75/status/1348294740203216897","ellmac75","United States","#",,FALSE,1,54,0,926,1454,2020-07-31 17:41:34,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x799747770420633600","x1348116016325304321",2021-01-10 03:54:39,"formrRepublican","IT’S OFFICIAL!
Apple has pulled the plug on Parler. Parler has been a snake pit of White Nationalists, Conspiracy Theorists, Hate groups, Proud Boys, Militias and violent right wing extremists. https://t.co/qV7vlw0TH1","Twitter for iPhone",193,,,,TRUE,FALSE,1,0,,,,,"twitter.com/axios/status/1…","https://t.co/qV7vlw0TH1","https://twitter.com/axios/status/1348112268601356289",,,,,,,,,,,"en","x1348112268601356289","UPDATE: Amazon has followed Apple and pulled the plug on Parler https://t.co/66tdyyK79w",2021-01-10 03:39:46,"TweetDeck",687,104,"x800707492346925056","axios","Axios",542964,894,82118,"","Smart Brevity worthy of people's time, attention and trust. Subscribe to our newsletters: https://t.co/JCzYNLRRbk",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/formrRepublican/status/1348116016325304321","FormerRepublican","Phoenix, AZ","Fiscally Conservative & Socially Liberal. Lover of mankind",,FALSE,106,300,1,5045,5424,2016-11-18 22:55:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/799747770420633600/1610075768","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1347381541891031041/WXRlggBR_normal.jpg"
"x2891759425","x1348035367874818050",2021-01-09 22:34:11,"ZacAKAMadu","It will be imperative for the Biden administration FBI, DOJ, DHS to redirect their resources to combat, investigate, and prosecute the Klan, neo-Nazis, Proud Boys, Michigan Militias, these right wing terrorist cabals in the darkest corners of the Internet. Shut them down.","Twitter Web App",272,"x1348034306694914048","x2891759425","ZacAKAMadu",FALSE,FALSE,7,2,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ZacAKAMadu/status/1348035367874818050","Zachary from Vista","Harlem, NY","urban bicyclist, electric bassist, Normcore Democrat, amateur New York historian, rapidly becoming a cranky old man.",,FALSE,2726,5001,29,18681,6944,2014-11-06 04:14:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/2891759425/1604703954","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1341085491815469056/oT3tGvPR_normal.jpg"
"x959337900746788864","x1347653010445373441",2021-01-08 21:14:50,"AnarchyGirlACAB","Funniest thing ive seen today, besides trying to claim proud boys and right wing terrorists as antifascists, is the number of fb ""woke"" people deeming proud boys and militias as crisis actors!!! <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>","Twitter for Android",203,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AnarchyGirlACAB/status/1347653010445373441","AntiFascistAmy <U+0001F3F4> Smashing Fascism Every Day <U+0001F3F4>","California, USA","#IAmAntifa  #defundICE #defundDHS #Anarchists #BLM #Anon  Cash App $RebelGirlArt","https://t.co/YG8PouX7xV",FALSE,2954,2993,8,18622,6933,2018-02-02 08:09:13,FALSE,"https://t.co/YG8PouX7xV","https://linktr.ee/RebelgirlArt",,"https://pbs.twimg.com/profile_banners/959337900746788864/1545371726","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1306684057825075201/j9ef9pJ2_normal.jpg"
"x858756450","x1347615844008816640",2021-01-08 18:47:09,"davidschraer","First of hundreds of arrests. Hope he goes to prison for a long time. The disrespect of laws abd norms by the right wing has been tolerated, coddled, too long. Allowing armed militias inside state Capitol buildings and Proud Boys to beat BLM protestors projected state weakness. https://t.co/nR46C3t3Q7","Twitter Web App",278,,,,TRUE,FALSE,0,0,,,,,"twitter.com/travisakers/st…","https://t.co/nR46C3t3Q7","https://twitter.com/travisakers/status/1347612003301523456",,,,,,,,,,,"en","x1347612003301523456","NEW: Richard Barnett has been arrested for illegally entering the office of Speaker Nancy Pelosi and stealing Congressional mail. (DoJ)",2021-01-08 18:31:53,"TweetDeck",7094,1060,"x101005636","travisakers","Travis Akers",142261,2213,12174,"DUUUVAL, FL via SC / VA","Proud Dad | Feat: @Newsweek / @HuffPost | @USNavy Mustang | Progressive Christian | Author: @ZeroProof365 | #Runner | #Sober | @Villanova_Alum | He/Him/His",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/davidschraer/status/1347615844008816640","David Schraer","Seattle; orig. #MissouriMan","Love the ones you’re with. *Fury and rage and determination to set things right are the only response to the cowards who would kill us all for a buck. #BLM","https://t.co/K5NtOAKUPV",FALSE,369,2239,2,47008,169588,2012-10-02 21:45:50,FALSE,"https://t.co/K5NtOAKUPV","http://lightandair.wordpress.com",,"https://pbs.twimg.com/profile_banners/858756450/1541304612","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1086153482053152768/cjdazg4q_normal.jpg"
"x2822012692","x1347577914934648840",2021-01-08 16:16:26,"EgSophie","The 11/14 rally was organized by @america1stwomen, w turnout generated by @NickjFuentes &amp; his groypers, Proud Boys, Alex Jones, politicians like @RepMTG. It was the largest gathering of white nationalists, neo-Nazis, militias, and hate groups since UTR in Charlottesville in 2017.","Twitter Web App",284,"x1347576354783563780","x2822012692","EgSophie",FALSE,FALSE,50,24,,,,,,,,,,,,,,,,"x1150201587115188224 x2442888666 x1344356576786866176","america1stwomen NickJFuentes RepMTG","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EgSophie/status/1347577914934648840","Sophie #DefundNYPD Ellman-Golan","NYC","I like dresses w pockets + dismantling white supremacist patriarchy. ~Opinions My Own~ #JewishResistance She/Her","https://t.co/Vbz0YmMFxB",FALSE,19771,2385,125,34710,43641,2014-10-11 03:35:38,TRUE,"https://t.co/Vbz0YmMFxB","http://newsweek.com/antisemitism-usa-trump-white-nationalism-not-rashida-tlaib-ilhan-omar-1462396",,"https://pbs.twimg.com/profile_banners/2822012692/1455123153","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1013572658439520256/MVT8snA4_normal.jpg"
"x1279311199016894465","x1347356961134637056",2021-01-08 01:38:26,"DasKant1","These people won't just disappear after the 20th either. White nationalists, neo-nazis, proud boys and militias will quickly transition to an insurgent force against the socialist takeover. The damage they can do is terrifying.","Twitter for Android",227,"x1347353814949535744","x1279311199016894465","DasKant1",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DasKant1/status/1347356961134637056","DasKant","Seattle, WA","Not sure if I really want to be here...but here we are.",,FALSE,39,157,0,991,834,2020-07-04 07:10:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/1279311199016894465/1594014550",,"http://pbs.twimg.com/profile_images/1280015915845742592/mAhFPiJY_normal.jpg"
"x965441558","x1347351126295912449",2021-01-08 01:15:15,"Sheri01914495","@abc7breaking Proud Boys and right-wing militias Always protest peacefully...","Twitter for iPhone",63,"x1347333812779417600","x22540607","abc7breaking",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x22540607","abc7breaking","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sheri01914495/status/1347351126295912449","Sheri Dunton","El Paso, TX","",,FALSE,21,43,0,423,12724,2012-11-23 03:55:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/965441558/1468989484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2884134884/802e7a39e5d7bf49e9d950bdf3e2912f_normal.jpeg"
